station_id,date,pm25_daily,n_rows_combined,year,month,y
KAM,2022-11-03,10.2,1,2022,11,2.33214389523559
KAM,2022-11-04,6,1,2022,11,1.8082887711792655
KAM,2022-11-05,3.4,1,2022,11,1.252762968495368
KAM,2022-11-06,5.6,1,2022,11,1.7404661748405044
KAM,2022-11-07,2.7,1,2022,11,1.0296194171811583
KAM,2022-11-08,8.3,1,2022,11,2.128231705849268
KAM,2022-11-09,17.7,1,2022,11,2.8791984572980396
KAM,2022-11-10,15.7,1,2022,11,2.760009940032921
KAM,2022-11-11,17.4,1,2022,11,2.8622008809294686
KAM,2022-11-12,17.8,1,2022,11,2.8848007128467095
KAM,2022-11-13,19.7,1,2022,11,2.9856819377004897
KAM,2022-11-14,17.6,1,2022,11,2.873564639579784
KAM,2022-11-15,19.9,1,2022,11,2.995732273553991
KAM,2022-11-16,10.5,1,2022,11,2.3608540011180215
KAM,2022-11-17,12.4,1,2022,11,2.5257286443082556
KAM,2022-11-18,16.1,1,2022,11,2.7850112422383386
KAM,2022-11-19,13.5,1,2022,11,2.6100697927420065
KAM,2022-11-20,16.2,1,2022,11,2.791165107812717
KAM,2022-11-21,13.4,1,2022,11,2.6026896854443837
KAM,2022-11-22,7.9,1,2022,11,2.0794415416798357
KAM,2022-11-23,11.4,1,2022,11,2.4423470353692043
KAM,2022-11-24,7.1,1,2022,11,1.9740810260220096
KAM,2022-11-25,7,1,2022,11,1.9600947840472698
KAM,2022-11-26,9.4,1,2022,11,2.2512917986064953
KAM,2022-11-27,1.4,1,2022,11,0.4054651081081644
KAM,2022-11-28,7.4,1,2022,11,2.0149030205422647
KAM,2022-11-29,22.5,1,2022,11,3.1179499062782403
KAM,2022-11-30,5.5,1,2022,11,1.7227665977411035
KAM,2022-12-01,5,1,2022,12,1.62924053973028
KAM,2022-12-02,10.8,1,2022,12,2.388762789235098
KAM,2022-12-03,12.2,1,2022,12,2.5095992623783716
KAM,2022-12-04,11.7,1,2022,12,2.468099531471619
KAM,2022-12-05,9.9,1,2022,12,2.302585092994046
KAM,2022-12-06,20.3,1,2022,12,3.0155349008501706
KAM,2022-12-07,15.5,1,2022,12,2.747270914255491
KAM,2022-12-08,5.9,1,2022,12,1.791759469228055
KAM,2022-12-09,10.7,1,2022,12,2.379546134130174
KAM,2022-12-10,2.6,1,2022,12,0.9932517730102834
KAM,2022-12-11,9.9,1,2022,12,2.302585092994046
KAM,2022-12-12,6.8,1,2022,12,1.9315214116032136
KAM,2022-12-13,13.1,1,2022,12,2.580216829592325
KAM,2022-12-14,14,1,2022,12,2.6461747973841225
KAM,2022-12-15,10.7,1,2022,12,2.379546134130174
KAM,2022-12-16,13.2,1,2022,12,2.587764035227708
KAM,2022-12-17,9.3,1,2022,12,2.2407096892759584
KAM,2022-12-18,3.7,1,2022,12,1.3350010667323402
KAM,2022-12-19,6.2,1,2022,12,1.840549633397487
KAM,2022-12-20,6.7,1,2022,12,1.916922612182061
KAM,2022-12-21,7.9,1,2022,12,2.0794415416798357
KAM,2022-12-22,10.3,1,2022,12,2.341805806147327
KAM,2022-12-23,6.5,1,2022,12,1.8870696490323797
KAM,2022-12-24,3.1,1,2022,12,1.1631508098056809
KAM,2022-12-25,4.9,1,2022,12,1.6094379124341003
KAM,2022-12-26,3.3,1,2022,12,1.2237754316221157
KAM,2022-12-27,3.1,1,2022,12,1.1631508098056809
KAM,2022-12-28,10.7,1,2022,12,2.379546134130174
KAM,2022-12-29,4.6,1,2022,12,1.5475625087160128
KAM,2022-12-30,2.6,1,2022,12,0.9932517730102834
KAM,2022-12-31,8.7,1,2022,12,2.1747517214841605
KAM,2023-01-01,9.5,1,2023,1,2.2617630984737906
KAM,2023-01-02,4.2,1,2023,1,1.4586150226995167
KAM,2023-01-03,8.2,1,2023,1,2.116255514802552
KAM,2023-01-04,7.6,1,2023,1,2.0412203288596382
